,Address,CommandResponse,ControlMode,ControlScheme,CRC,DataLength,FunctionCode,InvalidDataLength,InvalidFunctionCode,PIDCycleTime,PIDDeadband,PIDGain,PIDRate,PIDReset,PipelinePSI,PumpState,SetPoint,SolenoidState,TimeInterval,deltaPIDCycleTime,deltaPIDDeadband,deltaPIDGain,deltaPIDRate,deltaPIDReset,deltaPipelinePSI,deltaSetPoint
16575,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,665,0,0,0,0,0,-9.75862,0
13602,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,672,0,0,0,0,0,-15.873564000000002,0
8161,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,755,0,0,0,0,0,-19.505747,0
913,4,0,0,0,3541,19,3,1,1,0,0,0,0,0,0.21839081,0,0,0,640,0,0,0,0,0,0.21839081,0
14069,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,657,0,0,0,0,0,-0.18390805,0
556,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,758,0,0,0,0,0,-0.19540231,0
14731,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,661,0,0,0,0,0,-10.29885,0
22662,4,0,0,0,3933,19,3,1,1,0,0,0,0,0,9.563217999999999,1,0,1,653,0,0,0,0,0,9.563217999999999,0
10096,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,792,0,0,0,0,0,-0.057471264,0
579,4,0,0,0,3533,19,3,1,1,0,0,0,0,0,0.20689654,0,0,0,716,0,0,0,0,0,0.20689654,0
26480,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,659,0,0,0,0,0,-9.310345,0
19106,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,797,0,0,0,0,0,-9.528735000000001,0
5838,4,0,0,0,3346,19,3,1,1,0,0,0,0,0,10.655172,1,0,0,570,0,0,0,0,0,10.655172,0
2093,4,0,0,0,3638,19,3,1,1,0,0,0,0,0,18.885057,1,0,0,694,0,0,0,0,0,18.885057,0
4768,4,0,0,0,4130,19,3,1,1,0,0,0,0,0,10.287355999999999,1,0,1,661,0,0,0,0,0,10.287355999999999,0
15149,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,799,0,0,0,0,0,-10.574713000000001,0
6343,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,656,0,0,0,0,0,-0.20689654,0
17790,4,0,0,0,3030,19,3,1,1,0,0,0,0,0,8.620689,0,0,0,564,0,0,0,0,0,8.620689,0
4046,4,0,0,0,3142,19,3,1,1,0,0,0,0,0,23.080460000000002,1,0,0,604,0,0,0,0,0,23.080460000000002,0
7531,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,687,0,0,0,0,0,-0.20689654,0
20455,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,624,0,0,0,0,0,-10.057471000000001,0
14982,4,0,0,0,3538,19,3,1,1,0,0,0,0,0,8.942528999999999,1,0,0,554,0,0,0,0,0,8.942528999999999,0
24976,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,682,0,0,0,0,0,-0.06896552,0
14439,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,645,0,0,0,0,0,-0.080459766,0
8268,4,0,0,0,3446,19,3,1,1,0,0,0,0,0,19.988506,1,0,0,561,0,0,0,0,0,19.988506,0
23212,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,656,0,0,0,0,0,-10.643678,0
27481,4,0,0,0,3736,19,3,1,1,0,0,0,0,0,9.78161,1,0,1,523,0,0,0,0,0,9.78161,0
8038,4,0,0,0,4337,19,3,1,1,0,0,0,0,0,19.022987,1,0,0,695,0,0,0,0,0,19.022987,0
16796,4,0,0,0,3745,19,3,1,1,0,0,0,0,0,9.609196,1,0,1,601,0,0,0,0,0,9.609196,0
3475,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,728,0,0,0,0,0,-10.91954,0
19750,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,753,0,0,0,0,0,-9.632184,0
12988,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,761,0,0,0,0,0,-15.586205999999999,0
3411,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,668,0,0,0,0,0,-9.908046,0
19004,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,754,0,0,0,0,0,-9.563217999999999,0
25870,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,794,0,0,0,0,0,-0.080459766,0
5094,4,0,0,0,4230,19,3,1,1,0,0,0,0,0,9.344828,1,0,1,661,0,0,0,0,0,9.344828,0
1762,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,659,0,0,0,0,0,-19.0,0
8429,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,791,0,0,0,0,0,-20.551725,0
4720,4,0,0,0,3430,19,3,1,1,0,0,0,0,0,10.655172,1,0,0,528,0,0,0,0,0,10.655172,0
24462,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,747,0,0,0,0,0,-10.988506,0
18228,4,0,0,0,4445,19,3,1,1,0,0,0,0,0,0.10344827,0,0,0,604,0,0,0,0,0,0.10344827,0
9643,4,0,0,0,3446,19,3,1,1,0,0,0,0,0,0.04597701,0,0,0,674,0,0,0,0,0,0.04597701,0
24666,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,634,0,0,0,0,0,-6.908046000000001,0
16716,4,0,0,0,4531,19,3,1,1,0,0,0,0,0,9.678162,1,0,1,732,0,0,0,0,0,9.678162,0
28106,4,0,0,0,4545,19,3,1,1,0,0,0,0,0,20.0,1,0,0,400,0,0,0,0,0,0.0,0
1434,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,764,0,0,0,0,0,-20.091953,0
15134,4,0,0,0,4433,19,3,1,1,0,0,0,0,0,10.459769999999999,1,0,0,613,0,0,0,0,0,10.459769999999999,0
14192,4,0,0,0,4242,19,3,1,1,0,0,0,0,0,0.080459766,0,0,0,528,0,0,0,0,0,0.080459766,0
5061,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,670,0,0,0,0,0,-11.390804,0
21775,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,780,0,0,0,0,0,-10.563219,0
3496,4,0,0,0,3946,19,3,1,1,0,0,0,0,0,9.827586,1,0,0,528,0,0,0,0,0,9.827586,0
5698,4,0,0,0,4631,19,3,1,1,0,0,0,0,0,10.540230000000001,1,0,0,580,0,0,0,0,0,10.540230000000001,0
14346,4,0,0,0,4242,19,3,1,1,0,0,0,0,0,0.080459766,0,0,0,528,0,0,0,0,0,0.080459766,0
13936,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,754,0,0,0,0,0,-15.103449,0
10518,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,767,0,0,0,0,0,-10.689655,0
15849,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,789,0,0,0,0,0,-9.563217999999999,0
19515,4,0,0,0,3038,19,3,1,1,0,0,0,0,0,9.586205999999999,1,0,1,519,0,0,0,0,0,9.586205999999999,0
10436,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,681,0,0,0,0,0,-0.03448276,0
23047,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,679,0,0,0,0,0,-10.425286999999999,0
19236,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,665,0,0,0,0,0,-9.597700999999999,0
7667,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,689,0,0,0,0,0,-18.942529999999998,0
8512,4,0,0,0,3037,19,3,1,1,0,0,0,0,0,20.896551000000002,1,0,0,614,0,0,0,0,0,20.896551000000002,0
9846,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,645,0,0,0,0,0,-0.080459766,0
7813,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,670,0,0,0,0,0,-19.666667999999998,0
19779,4,0,0,0,3443,19,3,1,1,0,0,0,0,0,9.574713000000001,1,0,1,575,0,0,0,0,0,9.574713000000001,0
29037,4,0,0,0,4543,19,3,1,1,0,0,0,0,0,5.09375,1,0,0,370,0,0,0,0,0,-0.03125,0
220,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,648,0,0,0,0,0,-0.19540231,0
14946,4,0,0,0,3136,19,3,1,1,0,0,0,0,0,9.850575,1,0,0,565,0,0,0,0,0,9.850575,0
25441,4,0,0,0,4242,19,3,1,1,0,0,0,0,0,0.080459766,0,0,0,528,0,0,0,0,0,0.080459766,0
1878,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,668,0,0,0,0,0,-19.16092,0
27021,4,0,0,0,3239,19,3,1,1,0,0,0,0,0,9.965517,1,0,1,573,0,0,0,0,0,9.965517,0
17198,4,0,0,0,3845,19,3,1,1,0,0,0,0,0,10.333333,1,0,1,620,0,0,0,0,0,10.333333,0
7860,4,0,0,0,4634,19,3,1,1,0,0,0,0,0,19.597701999999998,1,0,0,620,0,0,0,0,0,19.597701999999998,0
14209,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,758,0,0,0,0,0,-0.06896552,0
9695,4,0,0,0,3732,19,3,1,1,0,0,0,0,0,0.057471264,0,0,0,611,0,0,0,0,0,0.057471264,0
24145,4,0,0,0,4541,19,3,1,1,0,0,0,0,0,9.505747,1,0,1,661,0,0,0,0,0,9.505747,0
15456,4,0,0,0,3138,19,3,1,1,0,0,0,0,0,10.310345,1,0,1,591,0,0,0,0,0,10.310345,0
16079,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,755,0,0,0,0,0,-14.804597,0
19956,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,633,0,0,0,0,0,-9.563217999999999,0
3291,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,704,0,0,0,0,0,-9.896552,0
24685,4,0,0,0,3744,19,3,1,1,0,0,0,0,0,4.6436779999999995,0,0,0,716,0,0,0,0,0,4.6436779999999995,0
9615,4,0,0,0,3245,19,3,1,1,0,0,0,0,0,0.03448276,0,0,0,567,0,0,0,0,0,0.03448276,0
18951,4,0,0,0,4635,19,3,1,1,0,0,0,0,0,9.632184,1,0,1,652,0,0,0,0,0,9.632184,0
21030,4,0,0,0,3932,19,3,1,1,0,0,0,0,0,9.563217999999999,1,0,1,644,0,0,0,0,0,9.563217999999999,0
3463,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,667,0,0,0,0,0,-9.344828,0
8857,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,633,0,0,0,0,0,-20.241379000000002,0
28578,4,0,0,0,3542,19,3,1,1,0,0,0,0,0,-22200000.0,1,0,0,1271,0,0,0,0,0,0.0,0
28889,0,1,0,0,3045,19,64,1,0,0,0,0,0,0,0.0,2,0,2,424,0,0,0,0,0,0.0,0
15648,4,0,0,0,3633,19,3,1,1,0,0,0,0,0,9.528735000000001,1,0,1,568,0,0,0,0,0,9.528735000000001,0
24365,4,0,0,0,4231,19,3,1,1,0,0,0,0,0,9.942528999999999,1,0,1,555,0,0,0,0,0,9.942528999999999,0
10476,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,678,0,0,0,0,0,-8.724138,0
24577,4,0,0,0,3342,19,3,1,1,0,0,0,0,0,9.620689,1,0,1,574,0,0,0,0,0,9.620689,0
4410,4,0,0,0,3934,19,3,1,1,0,0,0,0,0,9.862069,1,0,1,657,0,0,0,0,0,9.862069,0
23072,4,0,0,0,3530,19,3,1,1,0,0,0,0,0,9.873563,1,0,1,708,0,0,0,0,0,9.873563,0
16886,4,0,0,0,4334,19,3,1,1,0,0,0,0,0,9.597700999999999,1,0,1,648,0,0,0,0,0,9.597700999999999,0
2265,4,0,0,0,3533,19,3,1,1,0,0,0,0,0,18.724138,1,0,0,558,0,0,0,0,0,18.724138,0
27809,4,0,0,0,3341,19,3,1,1,0,0,0,0,0,0.17241379999999998,0,0,0,717,0,0,0,0,0,0.17241379999999998,0
10089,4,0,0,0,4242,19,3,1,1,0,0,0,0,0,0.080459766,0,0,0,603,0,0,0,0,0,0.080459766,0
25330,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,633,0,0,0,0,0,-0.080459766,0
9124,4,0,0,0,3733,19,3,1,1,0,0,0,0,0,3.275862,0,0,0,537,0,0,0,0,0,3.275862,0
22934,4,0,0,0,3643,19,3,1,1,0,0,0,0,0,9.655172,1,0,1,708,0,0,0,0,0,9.655172,0
19063,4,0,0,0,4336,19,3,1,1,0,0,0,0,0,10.195402,1,0,1,566,0,0,0,0,0,10.195402,0
16851,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,795,0,0,0,0,0,-9.586205999999999,0
1748,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,667,0,0,0,0,0,-19.804598000000002,0
8749,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,672,0,0,0,0,0,-20.091953,0
24268,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,752,0,0,0,0,0,-10.563219,0
10991,4,0,0,0,4134,19,3,1,1,0,0,0,0,0,9.356322,1,0,0,692,0,0,0,0,0,9.356322,0
27581,4,0,0,0,3036,19,3,1,1,0,0,0,0,0,10.655172,1,0,1,540,0,0,0,0,0,10.655172,0
14441,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,682,0,0,0,0,0,-0.06896552,0
12469,4,0,0,0,3042,19,3,1,1,0,0,0,0,0,9.586205999999999,1,0,1,652,0,0,0,0,0,9.586205999999999,0
21085,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,665,0,0,0,0,0,-9.563217999999999,0
12852,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,670,0,0,0,0,0,-15.850575,0
13821,4,0,0,0,3439,19,3,1,1,0,0,0,0,0,15.344826999999999,1,0,1,618,0,0,0,0,0,15.344826999999999,0
13003,4,0,0,0,3345,19,3,1,1,0,0,0,0,0,15.21839,1,0,1,583,0,0,0,0,0,15.21839,0
17963,4,0,0,0,4536,4,16,1,1,0,0,0,0,0,0.0,2,0,2,648,0,0,0,0,0,-0.09195402,0
22488,4,0,0,0,3631,19,3,1,1,0,0,0,0,0,9.528735000000001,1,0,1,606,0,0,0,0,0,9.528735000000001,0
5882,4,0,0,0,3536,19,3,1,1,0,0,0,0,0,7.057471799999999,0,0,0,573,0,0,0,0,0,7.057471799999999,0
